hestia_id,product_id,product_name,country,start_year,end_year,functional_unit_quantity,functional_unit,freshwater_withdrawal_l_per_kg,scarcity_weighted_water_aware_l_eq_per_kg,scarcity_weighted_water_ef31_l_eq_per_kg,aggregated_quality_score,aggregated_quality_score_max,aggregated_data_validated,irrigated,organic,source_id,data_release
africanAubergineFruit-cote-divoire-2010-2025-20250427,africanAubergineFruit,"African aubergine, fruit",Côte d'Ivoire,2010,2025,1,kg,7.4963363783164825,47.75915906625431,51.3499041914679,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
africanNightshadeFruit-cote-divoire-2010-2025-20250427,africanNightshadeFruit,"African nightshade, fruit",Côte d'Ivoire,2010,2025,1,kg,20.380745183461627,129.84572756383403,139.60810450671215,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
appleFruit-china-2010-2025-20250430,appleFruit,"Apple, fruit",China,2010,2025,1,kg,174.41839378547124,7996.5600998825,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
appleFruit-iran-2010-2025-20250430,appleFruit,"Apple, fruit",Iran,2010,2025,1,kg,115.71916747045863,7735.94206456763,,2,4,False,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
aubergineFruit-cote-divoire-2010-2025-20250427,aubergineFruit,"Aubergine, fruit",Côte d'Ivoire,2010,2025,1,kg,5.772807428514557,36.778556127066246,39.54373088532471,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
avocadoFruit-peru-2010-2025-20250430,avocadoFruit,"Avocado, fruit",Peru,2010,2025,1,kg,1311.941498486873,38413.64707569564,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
bananaFruit-brazil-2010-2025-20250430,bananaFruit,"Banana, fruit",Brazil,2010,2025,1,kg,1.8925688383528092,5.020985128150003,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
bananaFruit-china-2010-2025-20250430,bananaFruit,"Banana, fruit",China,2010,2025,1,kg,59.92105263157894,2747.2004999999995,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
bananaFruit-ecuador-2010-2025-20250430,bananaFruit,"Banana, fruit",Ecuador,2010,2025,1,kg,204.0082215044191,1629.6176733773,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
bananaFruit-iran-2010-2025-20250430,bananaFruit,"Banana, fruit",Iran,2010,2025,1,kg,1696.2822700147174,113398.16603275387,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
bananaFruit-world-2010-2025-20250501,bananaFruit,"Banana, fruit",World,2010,2025,1,kg,97.66533445274139,4467.212397868391,,2,5,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
barleyGrainWhole-germany-2010-2025-20250501,barleyGrainWhole,"Barley, grain (whole)",Germany,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
barleyGrainWhole-india-2010-2025-20250426,barleyGrainWhole,"Barley, grain (whole)",India,2010,2025,1,kg,,,0.0,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
barleyGrainWhole-italy-2010-2025-20250501,barleyGrainWhole,"Barley, grain (whole)",Italy,2010,2025,1,kg,0.0,0.0,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
broadBeanSeedWhole-iran-2010-2025-20250430,broadBeanSeedWhole,"Broad bean, seed (whole)",Iran,2010,2025,1,kg,381.1865969873963,25482.705195204428,,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cabbageHead-cote-divoire-2010-2025-20250427,cabbageHead,"Cabbage, head",Côte d'Ivoire,2010,2025,1,kg,8.268295247251743,52.677309020240855,56.63782244367444,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
carrotRoot-cote-divoire-2010-2025-20250427,carrotRoot,"Carrot, root",Côte d'Ivoire,2010,2025,1,kg,15.470357877789883,98.56165003939935,105.9719514628607,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cassavaRoot-thailand-2010-2025-20250430,cassavaRoot,"Cassava, root",Thailand,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
castorSeed-india-2010-2025-20250426,castorSeed,"Castor, seed",India,2010,2025,1,kg,0.0,0.0,0.0,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
chickpeaSeedWhole-india-2010-2025-20250426,chickpeaSeedWhole,"Chickpea, seed (whole)",India,2010,2025,1,kg,,,0.0,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
chickpeaSeedWhole-iran-2010-2025-20250430,chickpeaSeedWhole,"Chickpea, seed (whole)",Iran,2010,2025,1,kg,896.9742560722723,59963.62599268747,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
chickpeaSeedWhole-italy-2010-2025-20250131,chickpeaSeedWhole,"Chickpea, seed (whole)",Italy,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
chivesLeaf-cote-divoire-2010-2025-20250427,chivesLeaf,"Chives, leaf",Côte d'Ivoire,2010,2025,1,kg,9.037233926195666,57.57621734379259,61.90505239444031,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cocoaFruit-ghana-2010-2025-20250430,cocoaFruit,"Cocoa, fruit",Ghana,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cocoaSeedWhole-ecuador-2010-2025-20250430,cocoaSeedWhole,"Cocoa, seed (whole)",Ecuador,2010,2025,1,kg,5038.391243891813,40246.66925620781,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
coconutFruitInHusk-india-2010-2025-20250427,coconutFruitInHusk,"Coconut, fruit (in husk)",India,2010,2025,1,kg,486.45095034298174,14833.835279758885,,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
coffeeSeedWhole-colombia-2010-2025-20250430,coffeeSeedWhole,"Coffee, seed (whole)",Colombia,2010,2025,1,kg,0.0,0.0,,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
commonBeanSeedWhole-iran-2010-2025-20250430,commonBeanSeedWhole,"Common bean, seed (whole)",Iran,2010,2025,1,kg,4693.066923447279,313736.21689937403,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cottonLint-india-2010-2025-20250426,cottonLint,"Cotton, lint",India,2010,2025,1,kg,,,0.0,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
courgetteFruit-cote-divoire-2010-2025-20250427,courgetteFruit,"Courgette, fruit",Côte d'Ivoire,2010,2025,1,kg,5.381350338972327,34.284583009592694,36.86224982196044,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cucumberFruit-china-2010-2025-20250501,cucumberFruit,"Cucumber, fruit",China,2010,2025,1,kg,6.831781128460538,313.2166693965303,,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cucumberFruit-cote-divoire-2010-2025-20250427,cucumberFruit,"Cucumber, fruit",Côte d'Ivoire,2010,2025,1,kg,9.160904996505735,58.364125732738046,62.752199226064285,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
cucumberFruit-iran-2010-2025-20250430,cucumberFruit,"Cucumber, fruit",Iran,2010,2025,1,kg,35.896140730187504,2399.692903953765,,2,4,False,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
fingerMilletGrainInHusk-india-2010-2025-20250426,fingerMilletGrainInHusk,"Finger millet, grain (in husk)",India,2010,2025,1,kg,,,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
grapesFruit-australia-2010-2025-20250430,grapesFruit,"Grapes, fruit",Australia,2010,2025,1,kg,175.44192943874427,12770.418043846197,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
grapesFruit-france-2010-2025-20250430,grapesFruit,"Grapes, fruit",France,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
grapesFruit-spain-2010-2025-20250206,grapesFruit,"Grapes, fruit",Spain,2010,2025,1,kg,12.793978342709828,1033.2416909572457,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
hazelnutInShell-iran-2010-2025-20250430,hazelnutInShell,"Hazelnut, in shell",Iran,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
jujubeFruit-iran-2010-2025-20250430,jujubeFruit,"Jujube, fruit",Iran,2010,2025,1,kg,4334.696037618948,289778.7648108643,288690.7561054219,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
juteStalk-india-2010-2025-20250426,juteStalk,"Jute, stalk",India,2010,2025,1,kg,,,0.0,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
kiwifruitFruit-iran-2010-2025-20250430,kiwifruitFruit,"Kiwifruit, fruit",Iran,2010,2025,1,kg,707.6685435677433,47308.349806047205,47130.7250016117,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
lentilSeedWhole-india-2010-2025-20250427,lentilSeedWhole,"Lentil, seed (whole)",India,2010,2025,1,kg,,,0.0,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
lentilSeedWhole-iran-2010-2025-20250430,lentilSeedWhole,"Lentil, seed (whole)",Iran,2010,2025,1,kg,741.5769716571631,49575.16213225301,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
lettuceHead-cote-divoire-2010-2025-20250427,lettuceHead,"Lettuce, head",Côte d'Ivoire,2010,2025,1,kg,7.726512676291426,49.22561226065268,52.926611832596265,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-brazil-2010-2025-20250430,maizeGrain,"Maize, grain",Brazil,2010,2025,1,kg,18.651144523651787,49.48148642124819,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-canada-2010-2025-20250430,maizeGrain,"Maize, grain",Canada,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-china-2010-2025-20250430,maizeGrain,"Maize, grain",China,2010,2025,1,kg,187.81297564362882,8610.66149433345,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-france-2010-2025-20250430,maizeGrain,"Maize, grain",France,2010,2025,1,kg,21.60511854883506,204.9677596727982,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-hungary-2010-2025-20250430,maizeGrain,"Maize, grain",Hungary,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
maizeGrain-india-2010-2025-20250426,maizeGrain,"Maize, grain",India,2010,2025,1,kg,57.65456461686995,1758.1182934268322,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
